"submitted_name","accepted_name","Kingdom","Phylum","Class","Order","Family","Genus"
"Tricholoma sciodes","Tricholoma sciodes","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma"
"Tricholoma sulphureum","Tricholoma sulphureum","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma"
"Tricholoma ustale","Tricholoma ustale","Fungi","Basidiomycota","Agaricomycetes","Agaricales","Tricholomataceae","Tricholoma"
"Umbelopsis autotrophica","Umbelopsis autotrophica","Fungi","Mucoromycota","Umbelopsidomycetes","Umbelopsidales","Umbelopsidaceae","Umbelopsis"
"Verticillium alfalfae","Verticillium alfalfae","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium"
"Verticillium isaacii","Verticillium isaacii","Fungi","Ascomycota","Sordariomycetes","Glomerellales","Plectosphaerellaceae","Verticillium"
"Xerocomus chrysenteron","Xerocomellus chrysenteron","Fungi","Basidiomycota","Agaricomycetes","Boletales","Boletaceae","Xerocomellus"
"Zymoseptoria ardabiliae","Zymoseptoria ardabiliae","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria"
"Zymoseptoria passerinii","Zymoseptoria passerinii","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria"
"Zymoseptoria pseudotritici","Zymoseptoria pseudotritici","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria"
"Zymoseptoria tritici","Zymoseptoria tritici","Fungi","Ascomycota","Dothideomycetes","Mycosphaerellales","Mycosphaerellaceae","Zymoseptoria"
